"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","65010264087","Ibañez Ferre, José","28/07/1995","Sancho Esteban, Lucas","+34 XXXXXXX","+34 XXXXXXX","jose@mailintaor.com","Esteve Suarez, Marta","+34 XXXXZZZZ","+34 XXXXLLL","lucas@mailintaor.com","c/ de l'aviador Marta Esteve Suarez","L'Armentera","Albanyà","jose@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","78794131577","Bernal Fernandez, Axel","10/07/1994","Benitez Valero, Mar","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Rivas Exposito, Laia","+34 XXXXZZZZ","+34 XXXXLLL","mar@mailintaor.com","c/ de l'aviador Laia Rivas Exposito","L'Armentera","Albanyà","axel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","86039341301","Guerrero Espinosa, Guillem","17/01/1997","Delgado Castells, Gerard","+34 XXXXXXX","+34 XXXXXXX","guillem@mailintaor.com","Camacho Carreras, Alejandro","+34 XXXXZZZZ","+34 XXXXLLL","gerard@mailintaor.com","c/ de l'aviador Alejandro Camacho Carreras","L'Armentera","Albanyà","guillem@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","59496008253","Escobar Casado, Paula","18/10/1995","Iglesias Sola, Queralt","+34 XXXXXXX","+34 XXXXXXX","paula@mailintaor.com","Amaya Sans, Jana","+34 XXXXZZZZ","+34 XXXXLLL","queralt@mailintaor.com","c/ de l'aviador Jana Amaya Sans","L'Armentera","Albanyà","paula@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","73942159603","Ferre Prat, Anna","15/04/1991","Lorente Flores, David","+34 XXXXXXX","+34 XXXXXXX","anna@mailintaor.com","Gimenez Ramirez, Alejandro","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Alejandro Gimenez Ramirez","L'Armentera","Albanyà","anna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","58327411924","Dalmau Serrano, Aya","27/05/1997","Exposito Mendez, Jana","+34 XXXXXXX","+34 XXXXXXX","aya@mailintaor.com","Badia Villanueva, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","jana@mailintaor.com","c/ de l'aviador Dídac Badia Villanueva","L'Armentera","Albanyà","aya@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","53692232716","Lazaro Vila, Irene","21/09/1997","Marti Domenech, Max","+34 XXXXXXX","+34 XXXXXXX","irene@mailintaor.com","Cardenas Perez, José","+34 XXXXZZZZ","+34 XXXXLLL","max@mailintaor.com","c/ de l'aviador José Cardenas Perez","L'Armentera","Albanyà","irene@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","49256686782","Ribas Iglesias, Abril","29/03/1998","Sanz Valle, Naia","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Cano Molina, Ismael","+34 XXXXZZZZ","+34 XXXXLLL","naia@mailintaor.com","c/ de l'aviador Ismael Cano Molina","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","74737911816","Vega Bermudez, Axel","11/06/1992","Martin Casanova, Xavi","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Figueras Miguel, Naia","+34 XXXXZZZZ","+34 XXXXLLL","xavi@mailintaor.com","c/ de l'aviador Naia Figueras Miguel","L'Armentera","Albanyà","axel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","94141685082","Paredes Castells, Ainara","03/07/1998","Sans Simon, Quim","+34 XXXXXXX","+34 XXXXXXX","ainara@mailintaor.com","Reina Mendoza, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","quim@mailintaor.com","c/ de l'aviador Lluc Reina Mendoza","L'Armentera","Albanyà","ainara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","16047652975","Sabate Rius, Ferran","03/03/1998","Rius Pujol, Carlos","+34 XXXXXXX","+34 XXXXXXX","ferran@mailintaor.com","Pla Sole, Andrea","+34 XXXXZZZZ","+34 XXXXLLL","carlos@mailintaor.com","c/ de l'aviador Andrea Pla Sole","L'Armentera","Albanyà","ferran@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","85128225804","Asensio Barrera, Diego","09/10/1996","Bautista Flores, Marc","+34 XXXXXXX","+34 XXXXXXX","diego@mailintaor.com","Garrido Santiago, Judith","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Judith Garrido Santiago","L'Armentera","Albanyà","diego@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","56904052758","Ribera Reyes, Abril","10/07/1995","Planas Vega, David","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Delgado Busquets, Bruna","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Bruna Delgado Busquets","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","13996730071","Gallego Carmona, Alejandro","02/03/1991","Esteve Dominguez, Gisela","+34 XXXXXXX","+34 XXXXXXX","alejandro@mailintaor.com","Garriga Lazaro, Iris","+34 XXXXZZZZ","+34 XXXXLLL","gisela@mailintaor.com","c/ de l'aviador Iris Garriga Lazaro","L'Armentera","Albanyà","alejandro@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","70057341292","Dominguez Abad, Leo","29/08/1990","Pla Blanch, Marcos","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Flores Galvez, Elena","+34 XXXXZZZZ","+34 XXXXLLL","marcos@mailintaor.com","c/ de l'aviador Elena Flores Galvez","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","76673600129","Vicente Blanco, Martina","18/05/1994","Pacheco Merino, Queralt","+34 XXXXXXX","+34 XXXXXXX","martina@mailintaor.com","Codina Barrera, Naiara","+34 XXXXZZZZ","+34 XXXXLLL","queralt@mailintaor.com","c/ de l'aviador Naiara Codina Barrera","L'Armentera","Albanyà","martina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","36821216140","Ponce Royo, Blanca","07/03/1994","Viñas Camacho, Albert","+34 XXXXXXX","+34 XXXXXXX","blanca@mailintaor.com","Soto Muñoz, Lucas","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Lucas Soto Muñoz","L'Armentera","Albanyà","blanca@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","51834987767","Salvador Reyes, Carlos","06/09/1991","Quesada Vives, Elena","+34 XXXXXXX","+34 XXXXXXX","carlos@mailintaor.com","Juan Cuevas, Roger","+34 XXXXZZZZ","+34 XXXXLLL","elena@mailintaor.com","c/ de l'aviador Roger Juan Cuevas","L'Armentera","Albanyà","carlos@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","75173663767","Salazar Rivera, Marcos","31/07/1992","Morales Carrera, Ian","+34 XXXXXXX","+34 XXXXXXX","marcos@mailintaor.com","Benitez Iglesias, Jan","+34 XXXXZZZZ","+34 XXXXLLL","ian@mailintaor.com","c/ de l'aviador Jan Benitez Iglesias","L'Armentera","Albanyà","marcos@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","25971135322","Pons Galan, Valentina","02/01/1993","Sierra Guerrero, Emma","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Ibañez Avila, Sergio","+34 XXXXZZZZ","+34 XXXXLLL","emma@mailintaor.com","c/ de l'aviador Sergio Ibañez Avila","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","84358659751","Valero Arroyo, Leire","01/06/1997","Silva Pereira, Biel","+34 XXXXXXX","+34 XXXXXXX","leire@mailintaor.com","Casanovas Hernandez, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","biel@mailintaor.com","c/ de l'aviador Lluc Casanovas Hernandez","L'Armentera","Albanyà","leire@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","92511885476","Prats Juan, Marc","09/07/1990","Rios Pacheco, Naiara","+34 XXXXXXX","+34 XXXXXXX","marc@mailintaor.com","Sanz Benito, Ainara","+34 XXXXZZZZ","+34 XXXXLLL","naiara@mailintaor.com","c/ de l'aviador Ainara Sanz Benito","L'Armentera","Albanyà","marc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","88357371154","Parra Salazar, Naiara","03/03/1995","Pages Martinez, Marina","+34 XXXXXXX","+34 XXXXXXX","naiara@mailintaor.com","Ferre Luna, Leo","+34 XXXXZZZZ","+34 XXXXLLL","marina@mailintaor.com","c/ de l'aviador Leo Ferre Luna","L'Armentera","Albanyà","naiara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","54821236049","Muñoz Robles, Rayan","25/07/1991","Lozano Rubio, Eva","+34 XXXXXXX","+34 XXXXXXX","rayan@mailintaor.com","Bravo Moya, Marina","+34 XXXXZZZZ","+34 XXXXLLL","eva@mailintaor.com","c/ de l'aviador Marina Bravo Moya","L'Armentera","Albanyà","rayan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","36865959650","Ibañez Lazaro, Sara","02/04/1994","Mateo Bernal, Martí","+34 XXXXXXX","+34 XXXXXXX","sara@mailintaor.com","Benitez Andres, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","marti@mailintaor.com","c/ de l'aviador Lluc Benitez Andres","L'Armentera","Albanyà","sara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
